,Phase,FLDNAME,TBLNAME,CRFNAME,TEXT,TYPE,LENGTH,CODE,UNITS,target,OMOP
44,J-ADNI,AXSWEATN,ADSXLIST,Diagnosis and Symptoms Checklist,6. Sweating,N,1,1=Absent; 2=Present,,No suitable variable found.,
45,J-ADNI,AXURNDIS,ADSXLIST,Diagnosis and Symptoms Checklist,"17. Urinary discomfort (e.g., burning)",N,1,1=Absent; 2=Present,,No suitable variable found.,
46,J-ADNI,AXURNFRQ,ADSXLIST,Diagnosis and Symptoms Checklist,18. Urinary frequency,N,1,1=Absent; 2=Present,,No suitable variable found.,
47,J-ADNI,AXVISION,ADSXLIST,Diagnosis and Symptoms Checklist,10. Blurred vision,N,1,1=Absent; 2=Present,,vision,45613408.0
48,J-ADNI,AXVOMIT,ADSXLIST,Diagnosis and Symptoms Checklist,2. Vomiting,N,1,1=Absent; 2=Present,,No suitable variable found.,
49,J-ADNI,AXWANDER,ADSXLIST,Diagnosis and Symptoms Checklist,26. Wandering,N,1,1=Absent; 2=Present,,No suitable variable found.,
50,J-ADNI,BCABDOMN,BLSCHECK,Baseline Symptoms Checklist,5. Abdominal discomfort,N,1,1=Absent; 2=Present,,No suitable variable found.,
51,J-ADNI,BCADAS,BLCHANGE,Diagnostic Summary - Baseline Changes,1. Clinically relevant worsening on ADAS?,N,1,1=Yes; 0=No,,No suitable variable found.,
52,J-ADNI,BCANKLE,BLSCHECK,Baseline Symptoms Checklist,19. Ankle swelling,N,1,1=Absent; 2=Present,,No suitable variable found.,
53,J-ADNI,BCBREATH,BLSCHECK,Baseline Symptoms Checklist,13. Shortness of breath,N,1,1=Absent; 2=Present,,bmi,1027485.0
54,J-ADNI,BCCDR,BLCHANGE,Diagnostic Summary - Baseline Changes,8. Clinically relevant deterioration on CDR Sum of Boxes or Overall CDR rating?,N,1,1=Yes; 0=No,,clinical dementia rating scale sum of boxes (cdrsb),
55,J-ADNI,BCCHEST,BLSCHECK,Baseline Symptoms Checklist,16. Chest pain,N,1,1=Absent; 2=Present,,chest pain,77670.0
56,J-ADNI,BCCONSTP,BLSCHECK,Baseline Symptoms Checklist,4. Constipation,N,1,1=Absent; 2=Present,,No suitable variable found.,
57,J-ADNI,BCCORADL,BLCHANGE,Diagnostic Summary - Baseline Changes,13. Is the change in clinical status corroborated by informant report of changes in ADL?,N,1,1=Yes; 0=No; -1=NA/No change in clinical status,,No suitable variable found.,
58,J-ADNI,BCCORCOG,BLCHANGE,Diagnostic Summary - Baseline Changes,14. Is the change in clinical status corroborated by informant report of changes in cognition?,N,1,1=Yes; 0=No; -1=NA/No change in clinical status,,boston naming test (bnt),37396710.0
59,J-ADNI,BCCOUGH,BLSCHECK,Baseline Symptoms Checklist,14. Coughing,N,1,1=Absent; 2=Present,,No suitable variable found.,
60,J-ADNI,BCCRYING,BLSCHECK,Baseline Symptoms Checklist,24. Crying,N,1,1=Absent; 2=Present,,No suitable variable found.,
61,J-ADNI,BCDELIR,BLCHANGE,Diagnostic Summary - Baseline Changes,"11. Is there evidence of a delirium (medication effect, toxic or metabolic encephalopathy)?",N,1,1=Yes; 0=No,,No suitable variable found.,
62,J-ADNI,BCDEPRES,BLCHANGE,Diagnostic Summary - Baseline Changes,9. Clinically relevant depression based on clinical judgement or GDS?,N,1,1=Yes; 0=No,,depression,45878997.0
63,J-ADNI,BCDIARRH,BLSCHECK,Baseline Symptoms Checklist,3. Diarrhea,N,1,1=Absent; 2=Present,,No suitable variable found.,
64,J-ADNI,BCDIZZY,BLSCHECK,Baseline Symptoms Checklist,7. Dizziness,N,1,1=Absent; 2=Present,,No suitable variable found.,
65,J-ADNI,BCDPMOOD,BLSCHECK,Baseline Symptoms Checklist,23. Depressed mood,N,1,1=Absent; 2=Present,,depression,45878997.0
66,J-ADNI,BCDROWSY,BLSCHECK,Baseline Symptoms Checklist,9. Drowsiness,N,1,1=Absent; 2=Present,,No suitable variable found.,
67,J-ADNI,BCDRYMTH,BLSCHECK,Baseline Symptoms Checklist,12. Dry mouth,N,1,1=Absent; 2=Present,,No suitable variable found.,
68,J-ADNI,BCELMOOD,BLSCHECK,Baseline Symptoms Checklist,25. Elevated mood,N,1,1=Absent; 2=Present,,depression,45878997.0
69,J-ADNI,BCENERGY,BLSCHECK,Baseline Symptoms Checklist,8. Low energy,N,1,1=Absent; 2=Present,,boston naming test (bnt),37396710.0
70,J-ADNI,BCEXTCIR,BLCHANGE,Diagnostic Summary - Baseline Changes,"12. Has extenuating circumstance (such as a physical health problem, change in residence, charge in support network, death of a family member, etc.) contributed to a change in the subject's cognitive or functional performance?",N,1,1=Yes; 0=No,,No suitable variable found.,
71,J-ADNI,BCEXTSP,BLCHANGE,Diagnostic Summary - Baseline Changes,"If yes, describe:",T,50,,,boston naming test (bnt),37396710.0
72,J-ADNI,BCFALL,BLSCHECK,Baseline Symptoms Checklist,27. Fall,N,1,1=Absent; 2=Present,,bmi,1027485.0
73,J-ADNI,BCFAQ,BLCHANGE,Diagnostic Summary - Baseline Changes,7. Clinically relevant worsening in activities of daily living (FAQ)?,N,1,1=Yes; 0=No,,No suitable variable found.,
74,J-ADNI,BCHDACHE,BLSCHECK,Baseline Symptoms Checklist,11. Headache,N,1,1=Absent; 2=Present,,No suitable variable found.,
75,J-ADNI,BCINSOMN,BLSCHECK,Baseline Symptoms Checklist,22. Insomnia,N,1,1=Absent; 2=Present,,No suitable variable found.,
76,J-ADNI,BCMMSE,BLCHANGE,Diagnostic Summary - Baseline Changes,2. Clinically relevant worsening on MMSE?,N,1,1=Yes; 0=No,,mini-mental state examination (mmse),40491929.0
77,J-ADNI,BCMMSREC,BLCHANGE,Diagnostic Summary - Baseline Changes,3. Clinically relevant worsening on MMSE recall?,N,1,1=Yes; 0=No,,No suitable variable found.,
78,J-ADNI,BCMUSCLE,BLSCHECK,Baseline Symptoms Checklist,20. Musculoskeletal pain,N,1,1=Absent; 2=Present,,No suitable variable found.,
79,J-ADNI,BCNAUSEA,BLSCHECK,Baseline Symptoms Checklist,1. Nausea,N,1,1=Absent; 2=Present,,No suitable variable found.,
80,J-ADNI,BCNEUPSY,BLCHANGE,Diagnostic Summary - Baseline Changes,5. Clinically relevant worsening in memory on neuropsych testing?,N,1,1=Yes; 0=No,,No suitable variable found.,
81,J-ADNI,BCNMMMS,BLCHANGE,Diagnostic Summary - Baseline Changes,4. Clinically relevant worsening on non-memory MMSE items?,N,1,1=Yes; 0=No,,boston naming test (bnt),37396710.0
82,J-ADNI,BCNONMEM,BLCHANGE,Diagnostic Summary - Baseline Changes,6. Clinically relevant impairment/worsening in non-memory cognitive domains on neuropsych testing?,N,1,1=Yes; 0=No,,boston naming test (bnt),37396710.0
83,J-ADNI,BCOTHER,BLSCHECK,Baseline Symptoms Checklist,28. Other,N,1,1=Absent; 2=Present,,boston naming test (bnt),37396710.0
84,J-ADNI,BCPALPIT,BLSCHECK,Baseline Symptoms Checklist,15. Palpitations,N,1,1=Absent; 2=Present,,No suitable variable found.,
85,J-ADNI,BCPREDX,BLCHANGE,Diagnostic Summary - Baseline Changes,Pre-visit Diagnosis,N,1,1=NL;2=MCI;3=AD,,No suitable variable found.,
86,J-ADNI,BCRASH,BLSCHECK,Baseline Symptoms Checklist,21. Rash,N,1,1=Absent; 2=Present,,bmi,1027485.0
87,J-ADNI,BCSTROKE,BLCHANGE,Diagnostic Summary - Baseline Changes,10. Did subject have a stroke?,N,1,1=Yes; 0=No,,stroke,36210384.0
88,J-ADNI,BCSUMM,BLCHANGE,Diagnostic Summary - Baseline Changes,15. Narrative Summary,T,1000,,,boston naming test (bnt),37396710.0
89,J-ADNI,BCSWEATN,BLSCHECK,Baseline Symptoms Checklist,6. Sweating,N,1,1=Absent; 2=Present,,sweating,4188566.0
90,J-ADNI,BCURNDIS,BLSCHECK,Baseline Symptoms Checklist,"17. Urinary discomfort (e.g., burning)",N,1,1=Absent; 2=Present,,No suitable variable found.,
91,J-ADNI,BCURNFRQ,BLSCHECK,Baseline Symptoms Checklist,18. Urinary frequency,N,1,1=Absent; 2=Present,,No suitable variable found.,
92,J-ADNI,BCVISION,BLSCHECK,Baseline Symptoms Checklist,10. Blurred vision,N,1,1=Absent; 2=Present,,vision,45613408.0
93,J-ADNI,BCVOMIT,BLSCHECK,Baseline Symptoms Checklist,2. Vomiting,N,1,1=Absent; 2=Present,,No suitable variable found.,
94,J-ADNI,BCWANDER,BLSCHECK,Baseline Symptoms Checklist,26. Wandering,N,1,1=Absent; 2=Present,,No suitable variable found.,
95,J-ADNI,BNTCPHON,NEUROBAT,Neuropsychological Battery,5. Number of correct responses following a phonemic cue,N,2,0..30,,boston naming test (bnt),37396710.0
96,J-ADNI,BNTCSTIM,NEUROBAT,Neuropsychological Battery,3. Number of correct responses following a semantic cue,N,2,0..30,,boston naming test (bnt),37396710.0
97,J-ADNI,BNTND,NEUROBAT,Neuropsychological Battery,Check here if:,T,20,1=Boston Naming Not Done - Spanish speaking,,boston naming test (bnt),37396710.0
98,J-ADNI,BNTPHON,NEUROBAT,Neuropsychological Battery,4. Number of phonemic cues given,N,2,0..30,,boston naming test (bnt),37396710.0
99,J-ADNI,BNTSPONT,NEUROBAT,Neuropsychological Battery,1. Number of spontaneously given correct responses,N,2,0..30,,boston naming test (bnt),37396710.0
100,J-ADNI,BNTSTIM,NEUROBAT,Neuropsychological Battery,2. Number of semantic cues given,N,2,0..30,,boston naming test (bnt),37396710.0
101,J-ADNI,BNTTOTAL,NEUROBAT,Neuropsychological Battery,Total Number Correct (1+3),N,2,0..30,,boston naming test (bnt),37396710.0
102,J-ADNI,CATANIMSC,NEUROBAT,Neuropsychological Battery,Category Fluency (Animals) - Total Correct,N,3,0..77,,verbal fluency tests (semantic) animal,
103,J-ADNI,CATANINTR,NEUROBAT,Neuropsychological Battery,Category Fluency (Animals) - Intrusions,N,3,0..77,,verbal fluency tests (semantic) animal,
104,J-ADNI,CATANPERS,NEUROBAT,Neuropsychological Battery,Category Fluency (Animals) - Perseverations,N,3,0..77,,verbal fluency tests (semantic) animal,
105,J-ADNI,CATVEGESC,NEUROBAT,Neuropsychological Battery,Category Fluency (Vegetables) - Total Correct,N,3,0..77,,verbal fluency tests (semantic) vegetable or fruits,
106,J-ADNI,CATVGINTR,NEUROBAT,Neuropsychological Battery,Category Fluency (Vegetables) - Intrusions,N,3,0..77,,verbal fluency tests (semantic) vegetable or fruits,
107,J-ADNI,CATVGPERS,NEUROBAT,Neuropsychological Battery,Category Fluency (Vegetables) - Perseverations,N,3,0..77,,verbal fluency tests (semantic) vegetable or fruits,
108,J-ADNI,CDCARE,CDR,Clinical Dementia Rating,Score <!--Personal Care-->,N,"2,1",0.0=0.0;1.0=1.0;2.0=2.0;3.0=3.0,,No suitable variable found.,
109,J-ADNI,CDCOMMUN,CDR,Clinical Dementia Rating,Score <!--Community Affairs-->,N,"2,1",0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0,,No suitable variable found.,
110,J-ADNI,CDGLOBAL,CDR,Clinical Dementia Rating,Global CDR,N,"2,1",0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0,,No suitable variable found.,
111,J-ADNI,CDHOME,CDR,Clinical Dementia Rating,Score <!--Home and Hobbies-->,N,"2,1",0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0,,clinical dementia rating (cdr),36714811.0
112,J-ADNI,CDJUDGE,CDR,Clinical Dementia Rating,Score <!--Judgment and Problem Solving-->,N,"2,1",0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0,,No suitable variable found.,
113,J-ADNI,CDMEMORY,CDR,Clinical Dementia Rating,Score <!--Memory-->,N,"2,1",0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0,,No suitable variable found.,
114,J-ADNI,CDORIENT,CDR,Clinical Dementia Rating,Score <!--Orientation-->,N,"2,1",0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0,,No suitable variable found.,
115,J-ADNI,CDSOURCE,CDR,Clinical Dementia Rating,Information Source,N,1,1=Participant Visit;2=Telephone Call,,No suitable variable found.,
116,J-ADNI,CLOCKCIRC,NEUROBAT,Neuropsychological Battery,1. Approximately circular face,N,1,1=Yes;0=No,,No suitable variable found.,
117,J-ADNI,CLOCKHAND,NEUROBAT,Neuropsychological Battery,4. Presence of the two hands,N,1,1=Yes;0=No,,clock drawing test,
118,J-ADNI,CLOCKNUM,NEUROBAT,Neuropsychological Battery,3. Correctness of numbers,N,1,1=Yes;0=No,,clock drawing test,
119,J-ADNI,CLOCKSCOR,NEUROBAT,Neuropsychological Battery,Total Score,N,2,0..5,,clock drawing test,
120,J-ADNI,CLOCKSYM,NEUROBAT,Neuropsychological Battery,2. Symmetry of number placement,N,1,1=Yes;0=No,,clock drawing test,
121,J-ADNI,CLOCKTIME,NEUROBAT,Neuropsychological Battery,"5. Presence of the two hands, set to ten after eleven",N,1,1=Yes;0=No,,clock drawing test,
122,J-ADNI,CO8ANCHR,ADAS,ADAS-Cognitive Behavior,ANCHOR - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
123,J-ADNI,CO8ANCRR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
124,J-ADNI,CO8AXE,ADAS,ADAS-Cognitive Behavior,AXE - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
125,J-ADNI,CO8AXER,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
126,J-ADNI,CO8BOARD,ADAS,ADAS-Cognitive Behavior,BOARD - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
127,J-ADNI,CO8BOARR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
128,J-ADNI,CO8CAKE,ADAS,ADAS-Cognitive Behavior,CAKE - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
129,J-ADNI,CO8CAKER,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,patient qualification,
130,J-ADNI,CO8CARRR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
131,J-ADNI,CO8CARRT,ADAS,ADAS-Cognitive Behavior,CARROT - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
132,J-ADNI,CO8CAT,ADAS,ADAS-Cognitive Behavior,CAT - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
133,J-ADNI,CO8CATR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
134,J-ADNI,CO8COIN,ADAS,ADAS-Cognitive Behavior,COIN - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
135,J-ADNI,CO8COINR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
136,J-ADNI,CO8EDGE,ADAS,ADAS-Cognitive Behavior,EDGE - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
137,J-ADNI,CO8EDGER,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,patient qualification,
138,J-ADNI,CO8FORSR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
139,J-ADNI,CO8FORST,ADAS,ADAS-Cognitive Behavior,FOREST - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
140,J-ADNI,CO8FUND,ADAS,ADAS-Cognitive Behavior,FUND - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
141,J-ADNI,CO8FUNDR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
142,J-ADNI,CO8GEM,ADAS,ADAS-Cognitive Behavior,GEM - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
143,J-ADNI,CO8GEMR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
144,J-ADNI,CO8INST,ADAS,ADAS-Cognitive Behavior,INSTITUTION - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
145,J-ADNI,CO8INSTR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
146,J-ADNI,CO8LEPRD,ADAS,ADAS-Cognitive Behavior,LEOPARD - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
147,J-ADNI,CO8LEPRR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
148,J-ADNI,CO8MAGAZ,ADAS,ADAS-Cognitive Behavior,MAGAZINE - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
149,J-ADNI,CO8MAP,ADAS,ADAS-Cognitive Behavior,MAP - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
150,J-ADNI,CO8MAPR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
151,J-ADNI,CO8MILK,ADAS,ADAS-Cognitive Behavior,MILK - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
152,J-ADNI,CO8MILKR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,patient qualification,
153,J-ADNI,CO8NURSE,ADAS,ADAS-Cognitive Behavior,NURSE - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
154,J-ADNI,CO8SALE,ADAS,ADAS-Cognitive Behavior,SALE - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
155,J-ADNI,CO8SALER,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,participant id,46234739.0
156,J-ADNI,CO8SEA,ADAS,ADAS-Cognitive Behavior,SEA - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
157,J-ADNI,CO8SEAR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,patient qualification,
158,J-ADNI,CO8SHIP,ADAS,ADAS-Cognitive Behavior,SHIP - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
159,J-ADNI,CO8SHIPR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
160,J-ADNI,CO8TRAIN,ADAS,ADAS-Cognitive Behavior,TRAIN - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
161,J-ADNI,CO8TRAIR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
162,J-ADNI,CO8VAN,ADAS,ADAS-Cognitive Behavior,VAN - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
163,J-ADNI,CO8VANR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
164,J-ADNI,CO8VOL,ADAS,ADAS-Cognitive Behavior,VOLUME - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
165,J-ADNI,CO8VOLR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
166,J-ADNI,CO8WIZRD,ADAS,ADAS-Cognitive Behavior,WIZARD - Participant Response,N,1,1=Yes; 0=No,,No suitable variable found.,
167,J-ADNI,CO8WIZRR,ADAS,ADAS-Cognitive Behavior,Reminder given?,T,20,1=Check here if reminder given,,No suitable variable found.,
168,J-ADNI,COCOMND,ADAS,ADAS-Cognitive Behavior,Check each command performed correctly.,T,20,"1= Make a fist.; 2=Point to the ceiling, then to the floor.; 3=Put the pencil on top of the card, then put it back.; 4=Put the watch on the other side of the pencil and turn over the card.; 5=Tap each shoulder twice with two fingers, keeping your eyes shut.; 6=None completed correctly.",,No suitable variable found.,
169,J-ADNI,COCOMPRE,ADAS,ADAS-Cognitive Behavior,Check level of impairment.,N,1,"1=None: participant understands; 2=Very mild: one or two instances of misunderstanding; 3=Mild 3-5 instances of misunderstanding; 4=Moderate: requires several repetitions and rephrasings; 5=Moderately severe: participant only occasionally responds correctly, i.e., yes-or-no questions; 6=Severe: participant rarely responds to questions appropriately, not due to poverty of speech",,patient qualification,
170,J-ADNI,COCONSTR,ADAS,ADAS-Cognitive Behavior,Check each figure drawn correctly.,T,20,"1= None, attempted but drew no forms correctly.; 2=Circle; 3=Two overlapping rectangles; 4=Rhombus; 5=Cube",,No suitable variable found.,
171,J-ADNI,COIDEA,ADAS,ADAS-Cognitive Behavior,Check each step completed correctly.,T,20,1=Fold a letter.; 2=Put letter in envelope.; 3=Seal envelope.; 4=Address envelope.; 5=Indicate where stamp goes.; 6=None completed correctly,,No suitable variable found.,
