var_1,description_1,var_2,description_2,label
Right Caudal Middle Frontal Mean Frontal Thickness,,rh_caudalmiddlefrontal_thickness,Right_caudalmiddlefrontal_thickness_from_Qdec_rh.aparc.thickness.stats_file,1
Left Gyrus Cingul-Post-ventral Volume From Qdec,,ST94SA,Surface Area (aparc.stats) of RightLateralOccipital,0
tTau in CSF,"Is a quantification of total tau protein, a biomarker for Alzheimer's disease.",lh_S_circular_insula_ant_volume,,0
Left Lingual Meancurv From Qdec,,lh_lingual_meancurv,Left_lingual_meancurv_from_Qdec_lh.aparc.meancurv_file-FreeSurfer(v5.3),1
Left Inferiorparietal Meancurv From Qdec,,lh_inferiorparietal_meancurv,,1
Right Temporal Pole Thickness,,(S_subparietal)SurfArea,,0
Chest Pain,-,BCCHEST,,1
Right Gyrus Postcentral Area From Qdec,,rh_S_oc-temp_lat_area,Right_sulcus_oc-temp_lat_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),0
Right Sulcus Frontal Sup Meancurv From Qdec,,wm-rh-parahippocampal,White-matter-Right-parahippocampal-from_Qdec_wmparc.volume.stats_file-FreeSurfer(v5.3),0
Right Cerebellum Gray Matter Volume,,(Right-Cerebellum-Cortex)Volume_mm3,,1
Right Sulcus Oc-temp Lat Area From Qdec,,rh_S_oc-temp_lat_area,Right_sulcus_oc-temp_lat_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),1
Right Sulcus Suborbital Area From Qdec,,rh_S_suborbital_area,,1
Left Lat Fis-ant-Vertical Thickness From Qdec,,(G_and_S_frontomargin)MeanCurv,,0
Clock Drawing Test,A test of the ability of an individual to accurately place the numbers and hands of a clock in their usual and specified positions.,Age,,0
Right Rostral Anterior Cingulate Gray Matter Volume,,rh_rostralanteriorcingulate_volume,Right_rostralanteriorcingulate_volume_from_Qdec_rh.aparc.volume.stats_file,1
Left Lateral Orbitofrontal Area,,ST36SA,Surface Area (aparc.stats) of LeftLateralOrbitofrontal,1
Right Sulcus Oc Middle And Lunatus Thickness From Qdec,,lh_(temporalpole)SurfArea,,0
Right Gyrus Temporal Inferior Area From Qdec,,rh_G_temp_sup-G_T_transv_meancurv,Right_gyrus_temp_sup-G_T_transv_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file,0
Left Pole Occipital Thickness From Qdec,,lh_Pole_occipital_thickness,,1
Left Lateral Orbitofrontal Area,,lh_lateralorbitofrontal_area,,1
Brain Volume,,Whole_Brain_Volume(mm^3),,1
Left Superiortemporal Area,,lh_parsorbitalis_thickness,,0
Education,The number of education years that a subject has competed.,PTEDUCAT,Education (years),1
Left Inferior Parietal Gray Matter Volume,,lh_G_parietal_sup_meancurv,,0
Left Sulcus Orbital-H Shaped Area From Qdec,,lh_S_orbital-H_Shaped_area,Left_sulcus_orbital-H_Shaped_area_from_Qdec_lh.aparc.a2009s.area.stats_file,1
Left Gyrus Cingul-Post-dorsal Area From Qdec,,(G_cingul-Post-dorsal)SurfArea,,1
Functional Activities Questionnaire (FAQ),Functional Activities Questionnaire (FAQ) Total Score.,Weight,Weight,0
Left Rostralanteriorcingulate Meancurv From Qdec,,lh_rostralanteriorcingulate_meancurv,Left_rostralanteriorcingulate_meancurv_from_Qdec_lh.aparc.meancurv_file-FreeSurfer(v5.3),1
Left Medialorbitofrontal Area,,lh_medialorbitofrontal_area,Left_medialorbitofrontal_area_from_Qdec_lh.aparc.area_file,1
SubCortGrayVol From Qdec Aseg,,rh_G_pariet_inf-Angular_volume,Right_gyrus_pariet_inf-Angular_volume_from_Qdec_rh.aparc.a2009s.volume_file-FreeSurfer(v5.3),0
Heart Rate,"The number of heartbeats per unit of time, usually expressed as beats per minute.",PatientID,,0
Left Gyrus Temp Sup-Lateral Thickness From Qdec,,(G_temp_sup-Lateral)ThickAvg,,1
Right Sulcus Frontal Inferior Volume From Qdec,,rh_S_front_inf_volume,Right_sulcus_frontal_inferior_volume_from_Qdec_rh.aparc.a2009s.volume_file,1
Right Pole Temporal Meancurv From Qdec,,(Pole_temporal)MeanCurv,,1
White-matter-Right-middletemporal-from Qdec Wmparc,,wm-rh-middletemporal,White-matter-Right-middletemporal-from_Qdec_wmparc.volume.stats_file-FreeSurfer(v5.3),1
Left Gyrus Parietal Sup Volume From Qdec,,lh_S_central_meancurv,Left_sulcus_central_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file,0
Clock Drawing Test,A test of the ability of an individual to accurately place the numbers and hands of a clock in their usual and specified positions.,(G_orbital)GrayVol,,0
White-matter-left-rostralmiddlefrontal-from Qdec Wmparc,,wm-lh-rostralmiddlefrontal,White-matter-left-rostralmiddlefrontal-from_Qdec_wmparc.volume.stats_file-FreeSurfer(v5.3),1
Left Middle Temporal Gray Matter Volume,,lh_middletemporal_volume,,1
Left Precentral Gray Matter Volume,,LPRECEN,,1
Right Gyrus Pariet Inf-Angular Thickness From Qdec,,rh_G_pariet_inf-Angular_thickness,Right_gyrus_pariet_inf-Angular_thickness_from_Qdec_rh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),1
Left Sulcus Precentral-inf-part Volume From Qdec,,VSWEIGHT,1a. Weight,0
Right-vessel From Qdec,,Right_vessel,,1
Right Sulcus Cingul-Marginalis Thickness From Qdec,,rh_S_cingul-Marginalis_thickness,,1
Right Cuneus Volume,,(G_front_inf-Triangul)SurfArea,,0
Left Cortical White Matter Volume From Qdec,Left cortical white matter volume,lhCorticalWhiteMatterVol,LeftCorticalWhiteMatterVol_from_Qdec_aseg.volume.stats_file-FreeSurfer(v5.3),1
White-matter-Right-medialorbitofrontal-from Qdec Wmparc,,wm-rh-medialorbitofrontal,White-matter-Right-medialorbitofrontal-from_Qdec_wmparc.volume.stats_file-FreeSurfer(v5.3),1
Right Superiortemporal Meancurv From Qdec,,ST119TA,Thickness Average (aparc.stats) of RightTemporalPole,0
Hippocampus Volume,,Image.MR.Hippocampus.Vol.ICVCorr,Volume of the Hippocampus computed from MRI (mL).,1
CC Posterior From Qdec Aseg,,lhSurfaceHoles,Left_SurfaceHoles_from_Qdec_aseg.volume.stats_file,0
Vomiting,Forceful ejection of the contents of the stomach through the mouth.,AXVOMIT,2. Vomiting,1
Left Frontal Pole Area,,ST150SV,Subcortical Volume (aseg.stats) of LeftCorticalWM,0
Right Gyrus Precuneus Volume From Qdec,,GRAYVOL,,0
Left Gyrus Occipital Sup Area From Qdec,,lh_S_interm_prim-Jensen_volume,Left_sulcus_interm_prim-Jensen_volume_from_Qdec_lh.aparc.a2009s.volume_file,0
Right Superior Temporal Area,,rh_transversetemporal_volume,,0
Boston Naming Test (BNT),-,lh_S_occipital_ant_area,Left_sulcus_occipital_anterior_area_from_Qdec_lh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),0
Weight,The vertical force exerted by a mass as a result of gravity.,weight,1. Weight (lb):,1
Left Lat Fis-ant-Vertical Meancurv From Qdec,,lh_Lat_Fis-ant-Vertical_meancurv,Left_Lat_Fis-ant-Vertical_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file-FreeSurfer(v5.3),1
Left Sulcus Temporal Transverse Volume From Qdec,,lh_S_temporal_transverse_volume,Left_sulcus_temporal_transverse_volume_from_Qdec_lh.aparc.a2009s.volume_file-FreeSurfer(v5.3),1
Right Gyrus Oc-temp Lat-fusifor Meancurv From Qdec,,rh_G_oc-temp_lat-fusifor_meancurv,,1
Left Sulcus Frontal Inferior Thickness From Qdec,,lh_S_front_inf_thickness,Left_sulcus_frontal_inferior_thickness_from_Qdec_lh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),1
Left Sulcus Postcentral Thickness From Qdec,,lh_S_postcentral_thickness,Left_sulcus_postcentral_thickness_from_Qdec_lh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),1
Right Sulcus Pericallosal Volume From Qdec,,rh_S_pericallosal_volume,Right_sulcus_pericallosal_volume_from_Qdec_rh.aparc.a2009s.volume_file-FreeSurfer(v5.3),1
Depression,A melancholy feeling of sadness and despair.,past_depression,Any diagnosis of depression in the past?,1
Right Gyrus Frontal Inf-Triangul Meancurv From Qdec,,rh_G_temp_sup-G_T_transv_volume,,0
Right Sulcus Circular Insula Inferior Area From Qdec,,Image.PET.Amyloid.Florbetapir.Status,Amyloid status for Florbetapir,0
Right Accumbens Area Volume,,ST70SV,Subcortical Volume (aseg.stats) of RightAccumbensArea,1
BrainSegVolNotVent From Qdec Aseg,,lfvv,,0
Left Gyrus And Sulcus Occipital Inferior Area From Qdec,,rh_S_pericallosal_meancurv,Right_sulcus_pericallosal_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file,0
Right CA1 Volume,Right_CA1,ST55SA,Surface Area (aparc.stats) of LeftRostralMiddleFrontal,0
Depression,A melancholy feeling of sadness and despair.,rh_G_rectus_meancurv,Right_gyrus_rectus_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file,0
Right Sulcus Circular Insula Anterior Area From Qdec,,rh_parsopercularis_volume,Right_parsopercularis_volume_from_Qdec_rh.aparc.volume.stats_file,0
Bipolar,"A disorder of the brain that causes unusual shifts in mood, energy, activity levels and the ability to carry out day-to-day tasks. Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.",lh_G_and_S_subcentral_thickness,Left_gyrus_and_sulcus_subcentral_thickness_from_Qdec_lh.aparc.a2009s.thickness_file,0
Left Cuneus Mean Cortical Thickness,,wm-lh-parsopercularis,White-matter-left-parsopercularis-from_Qdec_wmparc.volume.stats_file,0
Sweating,"A watery secretion by the sweat glands that is primarily composed of salt, urea and minerals.",lh_G_temp_sup-Plan_tempo_volume,Left_gyrus_temp_sup-Plan_tempo_volume_from_Qdec_lh.aparc.a2009s.volume_file,0
Visit,The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement.,VISCODE,Visit,1
Left Precuneus Mean Cortical Thickness,,lh_precuneus_thickness,Left_precuneus_thickness_from_Qdec_lh.aparc.thickness.stats_file-FreeSurfer(v5.3),1
Right Gyrus Precentral Area From Qdec,,rh_G_precentral_area,Right_gyrus_precentral_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),1
Left Sulcus Circular Insula Sup Meancurv From Qdec,,(S_circular_insula_sup)MeanCurv,,1
Left Lingual Grey Gray Matter Volume,,Brain-Stem,,0
Right Gyrus Temp Sup-Lateral Thickness From Qdec,,rh_G_front_middle_meancurv,,0
Left Lat Fis-post Volume From Qdec,,APOE,,0
Left Sulcus Temporal Transverse Meancurv From Qdec,,lh_S_temporal_transverse_meancurv,Left_sulcus_temporal_transverse_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file,1
Left Gyrus And Sulcus Cingul-Ant Volume From Qdec,,lh_G_and_S_cingul-Ant_volume,,1
Right Inferiorparietal Volume From Qdec aparc,,rh_inferiorparietal_volume,Right_inferiorparietal_volume_from_Qdec_rh.aparc.volume.stats_file,1
White-matter-Right-banks Of The Superior Temoral Sulcus-from Qdec Wmparc,,wm-rh-bankssts,,1
Right Gyrus Temp Sup-Plan Tempo Meancurv From Qdec,,left_fimbria,Left_fimbria-FreeSurfer(v6Beta),0
Left Sulcus Collat Transv Anterior Meancurv From Qdec,,lh_S_collat_transv_ant_meancurv,,1
Left Amygdala Volume,,Left-Amygdala,,1
Left Lat Fis-post Thickness From Qdec,,(Lat_Fis-post)ThickAvg,,1
Left Inferior Lateral Ventricle Volume,,ST30SV,Subcortical Volume (aseg.stats) of LeftInferiorLateralVentricle,1
Biological Sex,The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.,msex,,1
Neuropsychiatric Inventory (NPI),Neuropsychiatric Inventory (NPI) Total of (Frequency Sub-total) x (Severity Sub-total).,rh_S_orbital_lateral_thickness,Right_sulcus_orbital_lateral_thickness_from_Qdec_rh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),0
Right Sulcus Oc Middle And Lunatus Area From Qdec,,(G_and_S_frontomargin)ThickAvg,,0
Right Sulcus Orbital-H Shaped Area From Qdec,,rh_S_orbital-H_Shaped_area,,1
APOE e4,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",ApoE4,,1
Right Banks Of The Superior Temoral Sulcus Thickness,,rh_(bankssts)ThickAvg,,1
Right Cortical Gray Matter Volume,,rhCortexVol,,1
Left Inferior Temporal Area,,rh_(parstriangularis)ThickAvg,,0
Left Sulcus Orbital-H Shaped Area From Qdec,,wm-rh-posteriorcingulate,White-matter-Right-posteriorcingulate-from_Qdec_wmparc.volume.stats_file-FreeSurfer(v5.3),0
Left Gyrus Frontal Inf-Orbital Thickness From Qdec,,Whole_Brain_Volume(mm^3),,0
Left CA4 Volume,Left_CA4,left_CA4,,1
Right Hippocampal-fissure Volume,Right_hippocampal-fissure,lrprecv,,0
Right Gyrus Pariet Inf-Angular Volume From Qdec,,rh_precuneus_meancurv,Right_precuneus_meancurv_from_Qdec_rh.aparc.meancurv_file,0
Left Gyrus Pariet Inf-Angular Thickness From Qdec,,lh_G_pariet_inf-Angular_thickness,Left_gyrus_pariet_inf-Angular_thickness_from_Qdec_lh.aparc.a2009s.thickness_file,1
Left Sulcus Postcentral Meancurv From Qdec,,lh_S_postcentral_meancurv,Left_sulcus_postcentral_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file-FreeSurfer(v5.3),1
Right Isthmus Cingulate Mean Cortical Thickness,,NACCAPOE,,0
Left Gyrus Frontal Middle Volume From Qdec,,rh_insula_meancurv,Right_insula_meancurv_from_Qdec_rh.aparc.meancurv_file,0
Left-non-white Matter Hypointensities Volume,Left-non-white matter hypointensities,LCMFM,,0
Right Gyrus And Sulcus Cingul-Ant Thickness From Qdec,,lh_S_circular_insula_ant_area,,0
Left Gyrus Cuneus Area From Qdec,,(G_cuneus)SurfArea,,1
Left Gyrus And Sulcus Cingul-Mid-Post Area From Qdec,,rh_temporalpole_volume,Right_temporalpole_volume_from_Qdec_rh.aparc.volume.stats_file-FreeSurfer(v5.3),0
Right Inferiortemporal Volume From Qdec aparc,,lh_S_orbital_lateral_thickness,,0
Left Parsorbitalis Meancurv From Qdec,,lh_parsorbitalis_meancurv,Left_parsorbitalis_meancurv_from_Qdec_lh.aparc.meancurv_file,1
Right Pericalcarine Area,,rh_(pericalcarine)SurfArea,,1
Left Cerebellum White Matter Volume,,Left_Cerebellum_White_Matter,,1
White-matter-Right-superiorparietal-from Qdec Wmparc,White-matter-Right-superiorparietal-from_Qdec_wmparc.volume.stats_file,rhCortexVol,RightCortexVol_from_Qdec_aseg.volume.stats_file,0
Left Gyrus Occipital Sup Meancurv From Qdec,,lh_G_occipital_sup_meancurv,Left_gyrus_occipital_sup_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file-FreeSurfer(v5.3),1
Left Parasubiculum Volume,Left_parasubiculum,left_parasubiculum,Left_parasubiculum-FreeSurfer(v6Beta),1
Right Cuneus Area,,ST82SA,Surface Area (aparc.stats) of RightCuneus,1
Right Sulcus Temporal Transverse Thickness From Qdec,,(S_temporal_transverse)ThickAvg,,1
Left Gyrus Cingul-Post-ventral Volume From Qdec,,lh_G_cingul-Post-ventral_volume,Left_gyrus_cingul-Post-ventral_volume_from_Qdec_lh.aparc.a2009s.volume_file-FreeSurfer(v5.3),1
Right Pars Triangularis Mean Cortical Thickness,,lh_S_oc_sup_and_transversal_area,,0
Right Sulcus Oc Sup And Transversal Thickness From Qdec,,rh_S_oc_sup_and_transversal_thickness,Right_sulcus_oc_sup_and_transversal_thickness_from_Qdec_rh.aparc.a2009s.thickness_file,1
High Blood Pressure,Blood pressure that is abnormally high.,RPARCENM,,0
Left Gyrus And Sulcus Cingul-Ant Meancurv From Qdec,,wm-lh-superiorparietal,White-matter-left-superiorparietal-from_Qdec_wmparc.volume.stats_file,0
Left Gyrus Temporal Middle Thickness From Qdec,,lh_isthmuscingulate_volume,Left_isthmuscingulate_volume_from_Qdec_lh.aparc.volume.stats_file,0
Left Gyrus And Sulcus Paracentral Volume From Qdec,,ST30SV,Subcortical Volume (aseg.stats) of LeftInferiorLateralVentricle,0
Left Sulcus Calcarine Meancurv From Qdec,,LPOSCINM,,0
Right Gyrus Cingul-Post-dorsal Meancurv From Qdec,,ST54CV,Cortical Volume (aparc.stats) of LeftRostralAnteriorCingulate,0
Right Sulcus Orbital-H Shaped Meancurv From Qdec,,rh_S_orbital-H_Shaped_meancurv,Right_sulcus_orbital-H_Shaped_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file-FreeSurfer(v5.3),1
Right Postcentral Meancurv From Qdec,,rh_postcentral_meancurv,,1
Right Middletemporal Area,,rh_(middletemporal)SurfArea,,1
Right Lateral Ventricle Volume,,(Right-Lateral-Ventricle)Volume_mm3,,1
White-matter-left-lingual-from Qdec Wmparc,,wm-lh-lingual,White-matter-left-lingual-from_Qdec_wmparc.volume.stats_file-FreeSurfer(v5.3),1
Right Amygdala Volume,,Right-Amygdala,Right-Amygdala_from_Qdec_aseg.volume.stats_file,1
Right Hippocampus Volume,,rh_G_Ins_lg_and_S_cent_ins_meancurv,Right_gyrus_Ins_lg_and_sulcus_cent_ins_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file-FreeSurfer(v5.3),0
Left Sulcus Parieto Occipital Area From Qdec,,rh_parsopercularis_thickness,Right_parsopercularis_thickness_from_Qdec_rh.aparc.thickness.stats_file-FreeSurfer(v5.3),0
Right Gyrus Rectus Thickness From Qdec,,rh_G_rectus_thickness,Right_gyrus_rectus_thickness_from_Qdec_rh.aparc.a2009s.thickness_file,1
Right Entorightinal Mean Cortical Thickness,,ans,"Neuropsychiatric_inventory_(NPI)-Anxiety:_presence_of_anxiety_during_the_last_5_years-Was_the_patient_very_nervous,_worried,_or_frightened_for_no_apparent_reason?_Does_he/she_seem_very_tense_or_fidgety?_Is_the_patient_afraid_to_be_apart_from_you?_",0
White-matter-Right-caudalanteriorcingulate-from Qdec Wmparc,,wm-rh-caudalanteriorcingulate,White-matter-Right-caudalanteriorcingulate-from_Qdec_wmparc.volume.stats_file,1
Right Gyrus Oc-temp Med-Lingual Meancurv From Qdec,,rh_G_oc-temp_med-Lingual_meancurv,,1
Left Sulcus Oc Sup And Transversal Thickness From Qdec,,wm-rh-transversetemporal,White-matter-Right-transversetemporal-from_Qdec_wmparc.volume.stats_file-FreeSurfer(v5.3),0
Right Sulcus Postcentral Area From Qdec,,lh_G_Ins_lg_and_S_cent_ins_thickness,Left_gyrus_Ins_lg_and_sulcus_cent_ins_thickness_from_Qdec_lh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),0
Right Transverse Temporal Area,,rh_(transversetemporal)SurfArea,,1
White-matter-Right-postcentral-from Qdec Wmparc,White-matter-Right-postcentral-from_Qdec_wmparc.volume.stats_file,ST14CV,Cortical Volume (aparc.stats) of LeftCaudalAnteriorCingulate,0
Right Sulcus Oc Sup And Transversal Thickness From Qdec,,LLING,,0
Left Gyrus Postcentral Area From Qdec,,lh_rostralmiddlefrontal_area,Left_rostralmiddlefrontal_area_from_Qdec_lh.aparc.area_file,0
Right Gyrus And Sulcus Subcentral Volume From Qdec,,rh_G_and_S_subcentral_volume,Right_gyrus_and_sulcus_subcentral_volume_from_Qdec_rh.aparc.a2009s.volume_file-FreeSurfer(v5.3),1
Right Gyrus Frontal Sup Meancurv From Qdec,,rh_G_front_sup_meancurv,,1
White-matter-Right-pericalcarine-from Qdec Wmparc,White-matter-Right-pericalcarine-from_Qdec_wmparc.volume.stats_file,lh_S_oc-temp_lat_meancurv,Left_sulcus_oc-temp_lat_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file,0
Clinical Dementia Rating (CDR),"A standardized rating scale developed by John C. Morris in 1997 to evaluate the severity of an individual's cognitive impairment. This instrument contains 6 areas which include memory, orientation, judgment and problem solving, community affairs, home and hobbies, and personal care. Each item is rated on a scale from 0 to 3 with 0 being none and 3 being severe.",BNTTOTAL,Total Number Correct (1+3),0
Right Superior Frontal Area,,LPARORBM,,0
Left Lingual Meancurv From Qdec,,rh_S_oc_middle_and_Lunatus_volume,Right_sulcus_oc_middle_and_Lunatus_volume_from_Qdec_rh.aparc.a2009s.volume_file-FreeSurfer(v5.3),0
Right Pericalcarine Gray Matter Volume,,rh_pericalcarine_volume,Right_pericalcarine_volume_from_Qdec_rh.aparc.volume.stats_file-FreeSurfer(v5.3),1
Left Gyrus Temp Sup-Plan Polar Area From Qdec,,ST15TA,Thickness Average (aparc.stats) of LeftCaudalMiddleFrontal,0
Visit,The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement.,ST111SA,Surface Area (aparc.stats) of RightPrecuneus,0
Right Sulcus Circular Insula Inferior Volume From Qdec,,rh_Lat_Fis-post_area,Right_Lat_Fis-post_area_from_Qdec_rh.aparc.a2009s.area.stats_file,0
Left Pole Temporal Area From Qdec,,(Pole_temporal)SurfArea,,0
Left Gyrus Frontal Middle Area From Qdec,,rh_G_temporal_inf_area,Right_gyrus_temporal_inferior_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),0
Left Gyrus Frontal Inf-Orbital Thickness From Qdec,,rh_S_orbital-H_Shaped_thickness,Right_sulcus_orbital-H_Shaped_thickness_from_Qdec_rh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),0
SubCortGrayVol From Qdec Aseg,,ST153SV,Subcortical Volume (aseg.stats) of SubcorticalGM,1
Right Pole Occipital Meancurv From Qdec,,llpalv,,0
Right Lateralorbitofrontal Volume,,rh_lateralorbitofrontal_volume,Right_lateralorbitofrontal_volume_from_Qdec_rh.aparc.volume.stats_file-FreeSurfer(v5.3),1
Right Gyrus Temp Sup-G T Transv Volume From Qdec,,lh_G_and_S_cingul-Mid-Ant_volume,,0
Left Isthmus Cingulate Area,,ST97TA,Thickness Average (aparc.stats) of RightLingual,0
Education,The number of education years that a subject has competed.,educ,,1
Right Gyrus Precentral Meancurv From Qdec,,rh_G_precentral_meancurv,,1
Right Sulcus Circular Insula Inferior Volume From Qdec,,rh_S_orbital-H_Shaped_thickness,Right_sulcus_orbital-H_Shaped_thickness_from_Qdec_rh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),0
Right Sulcus Postcentral Thickness From Qdec,,rh_S_postcentral_thickness,,1
Left Postcentral Mean Cortical Thickness,,LPOSCENM,,1
Left Sulcus Temporal Transverse Volume From Qdec,,wm-rh-entorhinal,,0
Right Gyrus Frontal Sup Meancurv From Qdec,,Left-Hippocampus,,0
White-matter-left-posteriorcingulate-from Qdec Wmparc,,PTDOB,2. Participant Date of Birth,0
Right Banks Of The Superior Temoral Sulcus Thickness,,lh_cuneus_area,Left_cuneus_area_from_Qdec_lh.aparc.area_file-FreeSurfer(v5.3),0
Right Inferior Parietal Area,,LLATOCCM,,0
"Ears, Nose and Throat",-,rh_(parstriangularis)GrayVol,,0
Right Sulcus Interm Prim-Jensen Meancurv From Qdec,,rh_S_interm_prim-Jensen_meancurv,,1
Right Gyrus Oc-temp Med-Lingual Volume From Qdec,,rh_G_oc-temp_med-Lingual_volume,,1
Left Gyrus Pariet Inf-Angular Meancurv From Qdec,,ST83SA,Surface Area (aparc.stats) of RightEntorhinal,0
Left Gyrus Occipital Sup Area From Qdec,,rh_G_and_S_frontomargin_meancurv,Right_gyrus_and_sulcus_frontomargin_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file,0
Left Sulcus Circular Insula Anterior Thickness From Qdec,,lh_S_circular_insula_ant_thickness,Left_sulcus_circular_insula_anterior_thickness_from_Qdec_lh.aparc.a2009s.thickness_file,1
Handedness,The preferred hand of use for controlled and efficient performance of motor tasks.,Handedness,Hand_preference,1
Left Gyrus Cingul-Post-dorsal Meancurv From Qdec,,(S_interm_prim-Jensen)GrayVol,,0
Right Sulcus Intrapariet And P Trans Thickness From Qdec,,rh_S_intrapariet_and_P_trans_thickness,,1
Right Parahippocampal Area,,rh_(parahippocampal)SurfArea,,1
White-matter-left-caudalanteriorcingulate-from Qdec Wmparc,,wm-lh-caudalanteriorcingulate,White-matter-left-caudalanteriorcingulate-from_Qdec_wmparc.volume.stats_file-FreeSurfer(v5.3),1
Right Transverse Temporal Mean Cortical Thickness,,rh_G_temp_sup-Plan_polar_meancurv,Right_gyrus_temp_sup-Plan_polar_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file-FreeSurfer(v5.3),0
Right Temporal Pole Gray Matter Volume,,rh_temporalpole_volume,Right_temporalpole_volume_from_Qdec_rh.aparc.volume.stats_file-FreeSurfer(v5.3),1
Right Gyrus Temporal Inferior Area From Qdec,,lh_G_and_S_cingul-Ant_volume,,0
Glucose metabolism in right hippocampus (Pons_Normalized),,rh_S_orbital_lateral_meancurv,Right_sulcus_orbital_lateral_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file,0
Right Sulcus Collat Transv Anterior Volume From Qdec,,FHQDAD,Dementia,0
Right Gyrus Precentral Meancurv From Qdec,,rh_WhiteSurfArea_area,Right_WhiteSurfArea_area_from_Qdec_rh.aparc.area_file,0
Right Gyrus Cingul-Post-ventral Thickness From Qdec,,rh_G_cingul-Post-ventral_thickness,,1
FDG PET,Fluorodeoxyglucose Positron Emission Tomography,lh_paracentral_area,Left_paracentral_area_from_Qdec_lh.aparc.area_file,0
Right Gyrus Cuneus Meancurv From Qdec,,rh_G_cuneus_meancurv,,1
