var_1,description_1,var_2,description_2,label
Left Gyrus Occipital Middle Thickness From Qdec,,lh_G_occipital_middle_thickness,Left_gyrus_occipital_middle_thickness_from_Qdec_lh.aparc.a2009s.thickness_file,1
Left Isthmus Cingulate Area,,lh_isthmuscingulate_area,,1
Left-UnsegmentedWhiteMatter-from Qdec Wmparc,Left-UnsegmentedWhiteMatter-from_Qdec_wmparc.volume.stats_file,(Lat_Fis-post)SurfArea,,0
Right Pallidum Volume,,SupraTentorialVol,SupraTentorialVol_from_Qdec_aseg.volume.stats_file,0
Left Gyrus Oc-temp Lat-fusifor Area From Qdec,,(G_oc-temp_lat-fusifor)SurfArea,,1
Right Lateraloccipital Area,,rh_isthmuscingulate_meancurv,Right_isthmuscingulate_meancurv_from_Qdec_rh.aparc.meancurv_file-FreeSurfer(v5.3),0
Right Gyrus And Sulcus Cingul-Mid-Ant Area From Qdec,,ST94TA,Thickness Average (aparc.stats) of RightLateralOccipital,0
Left Gyrus And Sulcus Cingul-Mid-Ant Meancurv From Qdec,,rh_G_front_middle_area,Right_gyrus_frontal_middle_area_from_Qdec_rh.aparc.a2009s.area.stats_file,0
Right Hippocampal-fissure Volume,Right_hippocampal-fissure,MOTHER,Did/Does the biological mother have dementia or significant memory impairment?,0
Left Banks Of The Superior Temoral Sulcus Cortical Area,,rh_G_oc-temp_med-Lingual_thickness,,0
White-matter-left-supramarginal-from Qdec Wmparc,,TAU,,0
Right Lat Fis-post Area From Qdec,,lh_temporalpole_area,Left_temporalpole_area_from_Qdec_lh.aparc.area_file-FreeSurfer(v5.3),0
Head Injury ,"Damage inflicted on the head as the direct or indirect result of an external force, with or without disruption of structural continuity.",TBFUPEN,"Now I am going to ask you about head or neck injuries, in the past year.</p> In the past year, have you had an injury that involved any penetration of a bullet, knife, stick, or other sharp object into your neck, head, or skull?",1
Schizophrenia,"A major psychotic disorder characterized by abnormalities in the perception or expression of reality. It affects the cognitive and psychomotor functions. Common clinical signs and symptoms include delusions, hallucinations, disorganized thinking, and retreat from reality.",rh_transversetemporal_meancurv,Right_transversetemporal_meancurv_from_Qdec_rh.aparc.meancurv_file-FreeSurfer(v5.3),0
White-matter-left-insula-from Qdec Wmparc,,lh_(parahippocampal)ThickAvg,,0
Right Precuneus Grey Matter Volume,,lh_G_and_S_frontomargin_volume,Left_gyrus_and_sulcus_frontomargin_volume_from_Qdec_lh.aparc.a2009s.volume_file,0
Left Sulcus Subparietal Meancurv From Qdec,,lh_S_subparietal_meancurv,Left_sulcus_subparietal_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file-FreeSurfer(v5.3),1
Right Lat Fis-post Volume From Qdec,,(Lat_Fis-post)GrayVol,,1
Right Gyrus Precuneus Meancurv From Qdec,,rh_G_precuneus_meancurv,,1
Right Gyrus Insular Short Thickness From Qdec,,rh_G_insular_short_thickness,Right_gyrus_insular_short_thickness_from_Qdec_rh.aparc.a2009s.thickness_file,1
Right Gyrus Cingul-Post-ventral Area From Qdec,,rh_G_cingul-Post-ventral_area,Right_gyrus_cingul-Post-ventral_area_from_Qdec_rh.aparc.a2009s.area.stats_file,1
Right Temporal Pole Thickness,,ST119TA,Thickness Average (aparc.stats) of RightTemporalPole,1
Right Paracentral Volume From Qdec aparc,,lh_G_cingul-Post-dorsal_thickness,,0
Right Parstriangularis Area,,rh_parstriangularis_area,Right_parstriangularis_area_from_Qdec_rh.aparc.area_file-FreeSurfer(v5.3),1
Right Hippocampal Tail Volume,Right_Hippocampal_tail,right_Hippocampal_tail,Right_Hippocampal_tail-FreeSurfer(v6Beta),1
Left Sulcus Collat Transv Posterior Meancurv From Qdec,,(Pole_occipital)ThickAvg,,0
Right Gyrus Temp Sup-Plan Polar Volume From Qdec,,rh_G_temp_sup-Plan_polar_volume,Right_gyrus_temp_sup-Plan_polar_volume_from_Qdec_rh.aparc.a2009s.volume_file-FreeSurfer(v5.3),1
Mini-Mental State Examination (MMSE),Mini-Mental State Examination (MMSE) Total score.,MMSE_TOT,Mini_Mental_State_Examination_raw_score,1
Smoking,,lh_precuneus_thickness,Left_precuneus_thickness_from_Qdec_lh.aparc.thickness.stats_file,0
Right Gyrus Oc-temp Lat-fusifor Thickness From Qdec,,rh_G_oc-temp_lat-fusifor_thickness,,1
Right Gyrus And Sulcus Transv Frontopol Meancurv From Qdec,,(S_front_middle)SurfArea,,0
Left Medial Orbitofrontal Mean Cortical Thickness,,lh_postcentral_thickness,Left_postcentral_thickness_from_Qdec_lh.aparc.thickness.stats_file-FreeSurfer(v5.3),0
Right Inferior Parietal Area,,ST90SA,Surface Area (aparc.stats) of RightInferiorParietal,1
Left Gyrus And Sulcus Occipital Inferior Area From Qdec,,(G_and_S_occipital_inf)SurfArea,,1
Right Gyrus Temp Sup-Plan Tempo Volume From Qdec,,rh_G_temp_sup-Plan_tempo_volume,,1
Right Sulcus Circular Insula Anterior Thickness From Qdec,,(S_circular_insula_ant)ThickAvg,,1
Left Transverse Temporal Grey Matter Volume,,APOE,Apolipoprotein_E_genotype,0
Left Inferior Lateral Ventricle Volume,,lh_G_temp_sup-G_T_transv_meancurv,,0
Right Sulcus Circular Insula Inferior Area From Qdec,,wm-rh-inferiorparietal,,0
Left Frontal Pole Area,,lh_frontalpole_area,Left_frontalpole_area_from_Qdec_lh.aparc.area_file-FreeSurfer(v5.3),1
Right Fusiform Volume From Qdec aparc,,lh_G_temp_sup-G_T_transv_volume,Left_gyrus_temp_sup-G_T_transv_volume_from_Qdec_lh.aparc.a2009s.volume_file-FreeSurfer(v5.3),0
Right Gyrus Cingul-Post-dorsal Thickness From Qdec,,(G_and_S_transv_frontopol)ThickAvg,,0
White-matter-Right-parsorbitalis-from Qdec Wmparc,White-matter-Right-parsorbitalis-from_Qdec_wmparc.volume.stats_file,wm-rh-parsorbitalis,White-matter-Right-parsorbitalis-from_Qdec_wmparc.volume.stats_file,1
Left Precentral Meancurv From Qdec,,rh_G_temporal_inf_area,Right_gyrus_temporal_inferior_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),0
Left Middle Temporal Gray Matter Volume,,rh_S_orbital_med-olfact_volume,Right_sulcus_orbital_med-olfact_volume_from_Qdec_rh.aparc.a2009s.volume_file-FreeSurfer(v5.3),0
A-beta 1-42 in CSF,The determination of the amount of the 1-42 amino acid beta amyloid protein isoform present in a sample.,(S_oc_middle_and_Lunatus)GrayVol,,0
Right Entorightinal Area,,ST83SA,Surface Area (aparc.stats) of RightEntorhinal,1
Right Sulcus Orbital-H Shaped Area From Qdec,,rh_S_orbital-H_Shaped_area,Right_sulcus_orbital-H_Shaped_area_from_Qdec_rh.aparc.a2009s.area.stats_file,1
Left Banks Of The Superior Temoral Sulcus Cortical Thickness,,rh_G_subcallosal_thickness,Right_gyrus_subcallosal_thickness_from_Qdec_rh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),0
Hippocampus Volume,,HIPPOVOL,,1
Right Entorightinal Meancurv From Qdec,,rh_(entorhinal)MeanCurv,,1
Left Pericalcarine Meancurv From Qdec,,rh_rostralanteriorcingulate_meancurv,,0
Left Gyrus Ins Lg And Sulcus Cent Ins Volume From Qdec,,rh_S_central_meancurv,,0
Brain Stem Grey Matter Volume,,Brain-Stem,,1
Right Superiorparietal Mean Cortical Thickness,,visit,,0
Left Frontal Pole Thickness,,lh_superiorparietal_meancurv,,0
Right Gyrus Temp Sup-Lateral Volume From Qdec,,(G_temp_sup-Lateral)GrayVol,,1
Left Sulcus Occipital Anterior Thickness From Qdec,,rh_G_temp_sup-Plan_polar_volume,Right_gyrus_temp_sup-Plan_polar_volume_from_Qdec_rh.aparc.a2009s.volume_file-FreeSurfer(v5.3),0
Depression,A melancholy feeling of sadness and despair.,rh_G_temp_sup-G_T_transv_meancurv,,0
Left Rostral Middle Frontal Mean Cortical Thickness,,lh_rostralmiddlefrontal_thickness,,1
Right Temporal Pole Gray Matter Volume,,rh_temporalpole_volume,,1
Left White Matter Hypointensities Volume,Left White Matter hypointensities,Left-WM-hypointensities,,1
Right Temporal Pole Gray Matter Volume,,lh_parstriangularis_volume,Left_parstriangularis_volume_from_Qdec_lh.aparc.volume.stats_file,0
Right Superior Frontal Area,,rh_(superiorfrontal)SurfArea,,1
Right Gyrus Postcentral Area From Qdec,,thyroid_bl,,0
Right Gyrus Pariet Inf-Supramar Area From Qdec,,rh_G_pariet_inf-Supramar_area,,1
Right Superior Temporal Area,,rh_superiortemporal_area,,1
Left Sulcus Precentral-sup-part Thickness From Qdec,,lh_S_precentral-sup-part_thickness,Left_sulcus_precentral-sup-part_thickness_from_Qdec_lh.aparc.a2009s.thickness_file,1
Left Gyrus Subcallosal Thickness From Qdec,,rh_S_circular_insula_sup_area,,0
White-matter-left-lateralorbitofrontal-from Qdec Wmparc,,wm-lh-lateralorbitofrontal,White-matter-left-lateralorbitofrontal-from_Qdec_wmparc.volume.stats_file,1
White-matter-Right-postcentral-from Qdec Wmparc,White-matter-Right-postcentral-from_Qdec_wmparc.volume.stats_file,wm-rh-postcentral,,1
Left Frontal Pole Thickness,,Gender,Gender,0
Right Gyrus And Sulcus Transv Frontopol Area From Qdec,,lh_G_postcentral_thickness,Left_gyrus_postcentral_thickness_from_Qdec_lh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),0
Right Rostralmiddlefrontal Area,,left_presubiculum,Left_presubiculum,0
Left Gyrus Frontal Sup Area From Qdec,,lh_G_front_sup_area,Left_gyrus_frontal_sup_area_from_Qdec_lh.aparc.a2009s.area.stats_file,1
Glucose_metabolism in left hippocampus (Pons_Normalized),,Hipp_Hypo_Sx_Gluc_(Pons_Normalized),Glucose_metabolism_in_left_hippocampus_(Pons_Normalized),1
Right Gyrus Pariet Inf-Angular Meancurv From Qdec,,rh_parstriangularis_area,Right_parstriangularis_area_from_Qdec_rh.aparc.area_file,0
Left Pars Opercularis Mean Cortical Thickness,,_3rd_Ventricle,,0
Left Sulcus Temporal Inferior Thickness From Qdec,,lh_S_temporal_inf_thickness,Left_sulcus_temporal_inferior_thickness_from_Qdec_lh.aparc.a2009s.thickness_file,1
Right Gyrus Temp Sup-Plan Polar Thickness From Qdec,,(G_temp_sup-Plan_polar)ThickAvg,,1
Right Precentral Mean Cortical Thickness,,lh_G_pariet_inf-Supramar_area,,0
Left Superiorparietal Area,,lh_superiorparietal_area,,1
Left Sulcus Oc-temp Lat Area From Qdec,,lh_S_oc-temp_lat_area,Left_sulcus_oc-temp_lat_area_from_Qdec_lh.aparc.a2009s.area.stats_file,1
Right Pole Occipital Meancurv From Qdec,,Right-Lateral-Ventricle,Right-Lateral-Ventricle_from_Qdec_aseg.volume.stats_file,0
Hachinski,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Sum all circled answers for a total score.,years_education,,0
Left Entorightinal Mean Cortical Thickness,,rh_S_precentral-inf-part_thickness,,0
Marital Status,A demographic parameter indicating a person's current conjugal status.,Marital_Status,,1
Right Gyrus Pariet Inf-Angular Thickness From Qdec,,ST32SA,Surface Area (aparc.stats) of LeftInferiorTemporal,0
Left Superior Temporal Gray Matter Volume,,lh_temporalpole_volume,Left_temporalpole_volume_from_Qdec_lh.aparc.volume.stats_file-FreeSurfer(v5.3),0
Right Pole Temporal Meancurv From Qdec,,lh_G_temporal_inf_volume,Left_gyrus_temporal_inferior_volume_from_Qdec_lh.aparc.a2009s.volume_file,0
Left Hippocampus Volume,,wm-rh-temporalpole,White-matter-Right-temporalpole-from_Qdec_wmparc.volume.stats_file-FreeSurfer(v5.3),0
Left Gyrus Pariet Inf-Supramar Meancurv From Qdec,,wm-lh-insula,White-matter-left-insula-from_Qdec_wmparc.volume.stats_file,0
Left Pars Orbitalis Gray Matter Volume,,rh_S_oc_middle_and_Lunatus_volume,,0
Right Gyrus Temp Sup-Plan Tempo Thickness From Qdec,,rh_parahippocampal_thickness,,0
Left Gyrus And Sulcus Transv Frontopol Meancurv From Qdec,,ST119SA,Surface Area (aparc.stats) of RightTemporalPole,0
Right Isthmuscingulate Area From Qdec,,rh_isthmuscingulate_area,Right_isthmuscingulate_area_from_Qdec_rh.aparc.area_file-FreeSurfer(v5.3),1
Left Gyrus Orbital Meancurv From Qdec,,lh_G_oc-temp_med-Parahip_volume,,0
Clinical Dementia Rating Scale Sum of Boxes (CDRSB),Clinical Dementia Rating (CDR) Sum of Boxes.,PXHEADEY,"Head, Eyes, Ears, Nose and Throat",0
Right Putamen Volume,,lh_S_temporal_inf_thickness,Left_sulcus_temporal_inferior_thickness_from_Qdec_lh.aparc.a2009s.thickness_file,0
White-matter-left-entorightinal-from Qdec Wmparc,,wm-lh-entorhinal,White-matter-left-entorightinal-from_Qdec_wmparc.volume.stats_file-FreeSurfer(v5.3),1
Right Sulcus Oc-temp Med And Lingual Volume From Qdec,,llfusigv,,0
Left Precentral Mean Cortical Thickness,,lh_precentral_thickness,,1
Alcohol Abuse,"The use of alcoholic beverages to excess, either on individual occasions (\binge drinking\) or as a regular practice.",Medical History.How often,How often take a drink?,1
Left Sulcus Circular Insula Sup Volume From Qdec,,lh_S_occipital_ant_meancurv,Left_sulcus_occipital_anterior_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file,0
Left Inferiorparietal Mean Cortical Thickness,,lh_inferiorparietal_thickness,Left_inferiorparietal_thickness_from_Qdec_lh.aparc.thickness.stats_file,1
Left Gyrus Precentral Meancurv From Qdec,,CC_Mid_Anterior,CC_Mid_Anterior_from_Qdec_aseg.volume.stats_file,0
Mother AD,,FHQMOMAD,Alzheimer's Disease,1
Left Sulcus Temporal Inferior Area From Qdec,,lh_S_oc_middle_and_Lunatus_volume,Left_sulcus_oc_middle_and_Lunatus_volume_from_Qdec_lh.aparc.a2009s.volume_file,0
Left Gyrus And Sulcus Cingul-Mid-Ant Volume From Qdec,,(G_and_S_cingul-Mid-Ant)GrayVol,,1
Left Superior Frontal Mean Cortical Thickness,,lh_Pole_occipital_area,Left_Pole_occipital_area_from_Qdec_lh.aparc.a2009s.area.stats_file,0
Right Gyrus And Sulcus Transv Frontopol Meancurv From Qdec,,rh_(insula)GrayVol,,0
Right Parsorbitalis Area,,rh_parsorbitalis_area,Right_parsorbitalis_area_from_Qdec_rh.aparc.area_file-FreeSurfer(v5.3),1
Right Gyrus Frontal Middle Thickness From Qdec,,rh_G_front_middle_thickness,,1
Right Accumbens Area Volume,,lh_paracentral_volume,,0
Right Gyrus Temporal Inferior Area From Qdec,,rh_G_temporal_inf_area,Right_gyrus_temporal_inferior_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),1
Right Frontal Pole Grey Matter Volume,,rh_G_rectus_volume,,0
Left Precentral Gray Matter Volume,,lh_(precentral)GrayVol,,1
Right Superior Parietal Gray Matter Volume,,RightSuperiorparietal,Volume of right superior parietal,1
Left Gyrus And Sulcus Cingul-Mid-Ant Area From Qdec,,(G_and_S_cingul-Mid-Ant)SurfArea,,1
Left Pars Opercularis Mean Cortical Thickness,,left_hippocampal-fissure,Left_hippocampal-fissure,0
White-matter-left-parsorbitalis-from Qdec Wmparc,,rh_G_temp_sup-Plan_tempo_area,Right_gyrus_temp_sup-Plan_tempo_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),0
Left Sulcus Circular Insula Anterior Area From Qdec,,(S_circular_insula_ant)MeanCurv,,0
Left Sulcus Temporal Transverse Volume From Qdec,,lh_S_temporal_transverse_volume,Left_sulcus_temporal_transverse_volume_from_Qdec_lh.aparc.a2009s.volume_file-FreeSurfer(v5.3),1
Right Gyrus And Sulcus Cingul-Mid-Ant Thickness From Qdec,,rh_G_and_S_cingul-Mid-Ant_thickness,,1
Right Sulcus Circular Insula Sup Volume From Qdec,,TOTSCORE,Total Score (ADAS 11),0
Fourth Ventricle Volume,,lfvv,,1
Right Superior Temporal Gray Matter Volume,,rh_G_orbital_area,Right_gyrus_orbital_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),0
Left Gyrus Frontal Inf-Triangul Meancurv From Qdec,,(CC_Mid_Anterior)Volume_mm3,,0
Right Pole Temporal Thickness From Qdec,,(Pole_temporal)ThickAvg,,1
Right Cerebellum Gray Matter Volume,,ST76SV,Subcortical Volume (aseg.stats) of RightCerebellumCortex,1
Clinical Dementia Rating Scale Sum of Boxes (CDRSB),Clinical Dementia Rating (CDR) Sum of Boxes.,CDSOB,Sum of Boxes (system populated),1
Country of Residence,The country in which an individual permanently resides.,Country_Of_Residence,Country_subject_lived_in_during_the_study,1
Right Paracentral Area,,rh_paracentral_area,Right_paracentral_area_from_Qdec_rh.aparc.area_file-FreeSurfer(v5.3),1
Left Superiorparietal Area,,lh_superiorparietal_area,Left_superiorparietal_area_from_Qdec_lh.aparc.area_file,1
Right Sulcus Calcarine Thickness From Qdec,,MMSE,Mini Mental State Examination,0
Left Gyrus Occipital Sup Thickness From Qdec,,rh_S_interm_prim-Jensen_thickness,,0
Right Banks Of The Superior Temoral Sulcus Volume,,right_fimbria,Right_fimbria-FreeSurfer(v6Beta),0
Right Gyrus Subcallosal Thickness From Qdec,,rh_G_subcallosal_thickness,Right_gyrus_subcallosal_thickness_from_Qdec_rh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),1
Right Cuneus Mean Cortical Thickness,,rh_cuneus_thickness,Right_cuneus_thickness_from_Qdec_rh.aparc.thickness.stats_file-FreeSurfer(v5.3),1
Right Supramarginal Mean Cortical Thickness,,rh_supramarginal_thickness,Right_supramarginal_thickness_from_Qdec_rh.aparc.thickness.stats_file,1
Left Sulcus Orbital Med-olfact Thickness From Qdec,,ST98CV,Cortical Volume (aparc.stats) of RightMedialOrbitofrontal,0
Right Rostralmiddlefrontal Area,,RSUPTEM,,0
Left Gyrus Frontal Inf-Triangul Area From Qdec,,lh_G_front_inf-Triangul_area,Left_gyrus_frontal_inf-Triangul_area_from_Qdec_lh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),1
Right Sulcus Subparietal Thickness From Qdec,,LPARCENM,,0
Left Sulcus Calcarine Area From Qdec,,(S_calcarine)SurfArea,,1
Left Superiortemporal Area,,rh_G_oc-temp_med-Parahip_meancurv,,0
Right Rostral Anterior Cingulate Gray Matter Volume,,lh_(superiorparietal)ThickAvg,,0
Right Inferior Temporal Gray Matter Volume,,CONP_ID,Participant identification code in the Open/Registered data repositories,0
Right Sulcus Temporal Inferior Area From Qdec,,rh_G_subcallosal_thickness,Right_gyrus_subcallosal_thickness_from_Qdec_rh.aparc.a2009s.thickness_file,0
PET-hypoperfusion: vermis or pons,,PET-ROI-pons/vermis,,1
Right Caudal Middle Frontal Area,,wm-rh-frontalpole,White-matter-Right-frontalpole-from_Qdec_wmparc.volume.stats_file-FreeSurfer(v5.3),0
Right Gyrus Cingul-Post-ventral Meancurv From Qdec,,rh_G_cingul-Post-ventral_meancurv,,1
Left Cortical White Matter Volume,,ST150SV,Subcortical Volume (aseg.stats) of LeftCorticalWM,1
Right Lateralorbitofrontal Mean Cortical Thickness,,rh_pericalcarine_thickness,Right_pericalcarine_thickness_from_Qdec_rh.aparc.thickness.stats_file,0
Left Gyrus Temp Sup-G T Transv Thickness From Qdec,,rh_G_rectus_meancurv,,0
Left Pars Opercularis Mean Cortical Thickness,,ST14CV,Cortical Volume (aparc.stats) of LeftCaudalAnteriorCingulate,0
Left Precuneus Mean Cortical Thickness,,LPRECUNM,,1
Thyroid,,thyroid_bl,,1
Left Rostral Middle Frontal Gray Matter Volume,,ST55CV,Cortical Volume (aparc.stats) of LeftRostralMiddleFrontal,1
APOE Allele 2,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",lh_G_postcentral_meancurv,Left_gyrus_postcentral_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file,0
APOE,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",APOE,Apolipoprotein_e_genotype,1
Right Inferior Lateral Ventricle Volume,,RightInferiorLateralVentricle,Volume of right inferior lateral ventricle,1
White-matter-left-isthmuscingulate-from Qdec Wmparc,,lh_(rostralanteriorcingulate)MeanCurv,,0
Right Gyrus Rectus Volume From Qdec,,rh_postcentral_meancurv,Right_postcentral_meancurv_from_Qdec_rh.aparc.meancurv_file-FreeSurfer(v5.3),0
Intracraneal Volume,,IntraCranialVolume,Total intracranial volume,1
Left Supramarginal Mean Cortical Thickness,,SupraTentorialVolNotVent,SupraTentorialVolNotVent_from_Qdec_aseg.volume.stats_file-FreeSurfer(v5.3),0
Left Sulcus Orbital Lateral Thickness From Qdec,,left_Whole_hippocampus,Left_Whole_hippocampus,0
Left Accumbens Area Volume,,llaccu,,1
Right Gyrus Pariet Inf-Angular Area From Qdec,,rh_G_pariet_inf-Angular_area,Right_gyrus_pariet_inf-Angular_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),1
Alzheimer's Disease Assessment Scale 11-item (ADAS11),"Alzheimer's Disease Assessment Scale-Cognitive CDISC Version (ADAS-Cog CDISC Version) Word recognition task for word 11 Trials 1, 2, 3.",CSF AB,Concentration of Ab1-42,0
Left Paracentral Gray Matter Volume,,lh_(lateraloccipital)GrayVol,,0
Left Gyrus Pariet Inf-Supramar Meancurv From Qdec,,lh_G_pariet_inf-Supramar_meancurv,,1
Left Cerebellum Gray Matter Volume,,Left-Cerebellum-Cortex,,1
Right Sulcus Circular Insula Sup Volume From Qdec,,rh_lingual_area,Right_lingual_area_from_Qdec_rh.aparc.area_file,0
Left Superior Temporal Gray Matter Volume,,rh_entorhinal_area,Right_entorightinal_area_from_Qdec_rh.aparc.area_file,0
Right Pole Occipital Area From Qdec,,(Pole_occipital)SurfArea,,1
Right Sulcus Precentral-sup-part Thickness From Qdec,,rh_S_precentral-sup-part_thickness,Right_sulcus_precentral-sup-part_thickness_from_Qdec_rh.aparc.a2009s.thickness_file,1
Right Gyrus Pariet Inf-Supramar Area From Qdec,,rh_medialorbitofrontal_thickness,Right_medialorbitofrontal_thickness_from_Qdec_rh.aparc.thickness.stats_file-FreeSurfer(v5.3),0
Left Sulcus Cingul-Marginalis Volume From Qdec,,(S_cingul-Marginalis)GrayVol,,1
Left Posteriorcingulate Meancurv From Qdec,,lh_posteriorcingulate_meancurv,,1
Left Sulcus Circular Insula Inferior Volume From Qdec,,lh_S_circular_insula_inf_volume,Left_sulcus_circular_insula_inferior_volume_from_Qdec_lh.aparc.a2009s.volume_file,1
Right Banks Of The Superior Temoral Sulcus Thickness,,rh_(bankssts)ThickAvg,,1
Left Gyrus And Sulcus Transv Frontopol Thickness From Qdec,,lh_rostralmiddlefrontal_volume,Left_rostralmiddlefrontal_volume_from_Qdec_lh.aparc.volume.stats_file-FreeSurfer(v5.3),0
Left Ventral Diencephalon Volume,,lh_(caudalmiddlefrontal)GrayVol,,0
Left Isthmuscingulate Volume From Qdec aparc,,ST34CV,Cortical Volume (aparc.stats) of LeftIsthmusCingulate,1
Left Precuneus Grey Matter Volume,,lh_(isthmuscingulate)ThickAvg,,0
Right Gyrus Oc-temp Med-Lingual Thickness From Qdec,,rh_G_oc-temp_med-Lingual_thickness,Right_gyrus_oc-temp_med-Lingual_thickness_from_Qdec_rh.aparc.a2009s.thickness_file,1
BMI,An individual's weight in kilograms divided by the square of the height in meters.,CAIDE_BMI_subscore,CAIDE body mass index (BMI) subscore,1
Left Gyrus And Sulcus Paracentral Meancurv From Qdec,,lrlatogv,,0
