var_1,description_1,var_2,description_2,label
Year of Birth,The year in which a person was born.,ST49SA,Surface Area (aparc.stats) of LeftPostcentral,0
White-matter-left-lateralorbitofrontal-from Qdec Wmparc,,wm-lh-lateralorbitofrontal,,1
Anxiety,"A feeling of worry, nervousness, or unease about something with an uncertain outcome.",Psych_side_diag,Psych_side_diag,1
White-matter-Right-lateralorbitofrontal-from Qdec Wmparc,,lh_G_and_S_cingul-Mid-Ant_area,,0
Left Gyrus And Sulcus Cingul-Mid-Post Area From Qdec,,lh_G_parietal_sup_thickness,Left_gyrus_parietal_sup_thickness_from_Qdec_lh.aparc.a2009s.thickness_file,0
Right Sulcus Interm Prim-Jensen Thickness From Qdec,,lh_S_cingul-Marginalis_meancurv,Left_sulcus_cingul-Marginalis_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file,0
Left Gyrus Precuneus Meancurv From Qdec,,rh_superiorfrontal_thickness,,0
Right Entorightinal Mean Cortical Thickness,,rh_(entorhinal)ThickAvg,,1
Right Gyrus Pariet Inf-Supramar Volume From Qdec,,(G_pariet_inf-Supramar)GrayVol,,1
Right Gyrus Temp Sup-Lateral Area From Qdec,,rh_G_temp_sup-Lateral_area,Right_gyrus_temp_sup-Lateral_area_from_Qdec_rh.aparc.a2009s.area.stats_file,1
Right Lat Fis-ant-Vertical Area From Qdec,,Right-Accumbens-area,,0
Left Banks Of The Superior Temoral Sulcus Cortical Thickness,,lh_bankssts_thickness,,1
Left Sulcus Precentral-inf-part Volume From Qdec,,(S_precentral-inf-part)GrayVol,,1
Left Inferior Parietal Area,,lrlatogv,,0
Right Transverse Temporal Grey Matter Volume,,RTRTEM,,1
Right Sulcus Oc-temp Med And Lingual Volume From Qdec,,Sex,Sex,0
Right Gyrus And Sulcus Occipital Inferior Thickness From Qdec,,lh_G_front_inf-Orbital_thickness,Left_gyrus_frontal_inf-Orbital_thickness_from_Qdec_lh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),0
Right Gyrus And Sulcus Cingul-Mid-Post Thickness From Qdec,,rh_G_and_S_cingul-Mid-Post_thickness,Right_gyrus_and_sulcus_cingul-Mid-Post_thickness_from_Qdec_rh.aparc.a2009s.thickness_file,1
Left Sulcus Circular Insula Anterior Meancurv From Qdec,,ST54TA,Thickness Average (aparc.stats) of LeftRostralAnteriorCingulate,0
RightCortexVol From Qdec Aseg,,rhCortexVol,RightCortexVol_from_Qdec_aseg.volume.stats_file,1
Third Ventricle Volume,,3rd-Ventricle,3rd-Ventricle_from_Qdec_aseg.volume.stats_file-FreeSurfer(v5.3),1
Left Supramarginal Area,,lh_(inferiorparietal)GrayVol,,0
Right Sulcus Temporal Sup Meancurv From Qdec,,rh_S_temporal_sup_meancurv,Right_sulcus_temporal_sup_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file-FreeSurfer(v5.3),1
White-matter-left-paracentral-from Qdec Wmparc,,(S_suborbital)MeanCurv,,0
Left Gyrus Pariet Inf-Supramar Thickness From Qdec,,(G_pariet_inf-Supramar)ThickAvg,,1
Left Gyrus Temp Sup-Plan Polar Thickness From Qdec,,lh_G_temp_sup-Plan_polar_thickness,,1
Left Frontal Pole Thickness,,lh_G_pariet_inf-Angular_meancurv,Left_gyrus_pariet_inf-Angular_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file-FreeSurfer(v5.3),0
Right Gyrus And Sulcus Cingul-Mid-Ant Thickness From Qdec,,rh_G_and_S_cingul-Mid-Ant_thickness,Right_gyrus_and_sulcus_cingul-Mid-Ant_thickness_from_Qdec_rh.aparc.a2009s.thickness_file,1
Right Sulcus Occipital Anterior Thickness From Qdec,,(Pole_temporal)ThickAvg,,0
Left Gyrus Cingul-Post-ventral Thickness From Qdec,,rh_S_front_sup_volume,Right_sulcus_frontal_sup_volume_from_Qdec_rh.aparc.a2009s.volume_file,0
Right Gyrus And Sulcus Cingul-Ant Meancurv From Qdec,,(G_precentral)GrayVol,,0
Right Transverse Temporal Area,,past_depression,Any diagnosis of depression in the past?,0
Left Pole Occipital Meancurv From Qdec,,lh_Pole_occipital_meancurv,Left_Pole_occipital_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file,1
Left Caudate Volume,,rh_rostralanteriorcingulate_thickness,Right_rostralanteriorcingulate_thickness_from_Qdec_rh.aparc.thickness.stats_file-FreeSurfer(v5.3),0
Right Gyrus Cingul-Post-dorsal Area From Qdec,,(G_cingul-Post-dorsal)SurfArea,,1
Right Sulcus Circular Insula Inferior Area From Qdec,,Left-Pallidum,Left-Pallidum_from_Qdec_aseg.volume.stats_file-FreeSurfer(v5.3),0
Visit,The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement.,ST45TA,Thickness Average (aparc.stats) of LeftParsOpercularis,0
Amount of Smoking,,MH16ASMOK,,1
Right Gyrus Frontal Inf-Orbital Thickness From Qdec,,rh_G_front_inf-Orbital_thickness,Right_gyrus_frontal_inf-Orbital_thickness_from_Qdec_rh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),1
Left Insula Mean Cortical Thickness,,lh_(insula)ThickAvg,,1
Right Gyrus Precuneus Area From Qdec,,rh_G_precuneus_area,Right_gyrus_precuneus_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),1
Right Caudalanteriorcingulate Meancurv From Qdec,,rh_caudalanteriorcingulate_meancurv,,1
Left Cerebellum White Matter Volume,,rh_G_front_sup_area,Right_gyrus_frontal_sup_area_from_Qdec_rh.aparc.a2009s.area.stats_file,0
Left Caudal Middle Frontal Area,,lh_caudalmiddlefrontal_area,Left_caudalmiddlefrontal_area_from_Qdec_lh.aparc.area_file,1
Left Insula Volume From Qdec aparc,,lh_insula_volume,Left_insula_volume_from_Qdec_lh.aparc.volume.stats_file-FreeSurfer(v5.3),1
Right Gyrus And Sulcus Cingul-Mid-Post Volume From Qdec,,rh_G_temporal_middle_meancurv,,0
Right Lateral Occipital Gray Matter Volume,,ST94CV,Cortical Volume (aparc.stats) of RightLateralOccipital,1
Right Gyrus And Sulcus Cingul-Mid-Post Area From Qdec,,lh_inferiorparietal_meancurv,Left_inferiorparietal_meancurv_from_Qdec_lh.aparc.meancurv_file,0
Right Thalamus Volume,,(Right-Thalamus-Proper)Volume_mm3,,1
Right Postcentral Grey Matter Volume,,rh_G_and_S_subcentral_meancurv,Right_gyrus_and_sulcus_subcentral_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file,0
American National Reading Test (ANART),-,ANARTERR,,1
Right Rostral Anterior Cingulate Gray Matter Volume,,rh_rostralanteriorcingulate_volume,Right_rostralanteriorcingulate_volume_from_Qdec_rh.aparc.volume.stats_file-FreeSurfer(v5.3),1
Left Pericalcarine Area,,ST48SA,Surface Area (aparc.stats) of LeftPericalcarine,1
Right Lateraloccipital Area,,rh_lateraloccipital_area,Right_lateraloccipital_area_from_Qdec_rh.aparc.area_file,1
Diabetes,A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,CSF_P-Tau,Measure_of_the_phosphorylated_Tau_protein_in_the_Cerebrospinal Fluid(CSF),0
Optic Chiasm Volume,,(G_pariet_inf-Supramar)GrayVol,,0
Right Gyrus Postcentral Area From Qdec,,lh_paracentral_volume,Left_paracentral_volume_from_Qdec_lh.aparc.volume.stats_file-FreeSurfer(v5.3),0
Right Gyrus Frontal Inf-Orbital Meancurv From Qdec,,ST95TA,Thickness Average (aparc.stats) of RightLateralOrbitofrontal,0
Right Gyrus And Sulcus Subcentral Meancurv From Qdec,,(G_and_S_subcentral)MeanCurv,,1
Alcohol,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",lcs22,,1
Left Choroid Plexus Volume,,Left-choroid-plexus,,1
Right Inferior Lateral Ventricle Volume,,ST74CV,Cortical Volume (aparc.stats) of RightCaudalMiddleFrontal,0
Right Gyrus And Sulcus Frontomargin Meancurv From Qdec,,rh_G_and_S_frontomargin_meancurv,,1
Right Sulcus Oc Sup And Transversal Thickness From Qdec,,rh_S_oc_sup_and_transversal_thickness,Right_sulcus_oc_sup_and_transversal_thickness_from_Qdec_rh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),1
Left Rostral Anterior Cingulate Area,,rh_lingual_volume,Right_lingual_volume_from_Qdec_rh.aparc.volume.stats_file-FreeSurfer(v5.3),0
Right Gyrus Oc-temp Med-Lingual Volume From Qdec,,rh_(parsorbitalis)ThickAvg,,0
Left Posteriorcingulate Area,,lh_G_subcallosal_meancurv,Left_gyrus_subcallosal_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file,0
Right Precuneus Area,,rh_precuneus_area,Right_precuneus_area_from_Qdec_rh.aparc.area_file-FreeSurfer(v5.3),1
Left Lateral Orbitofrontal Area,,PET-ROI-angular_left,PET-ROI-angular_left,0
Right Accumbens Area Volume,,handedness,,0
Right Cuneus Gray Matter Volume,,lh_G_front_sup_area,Left_gyrus_frontal_sup_area_from_Qdec_lh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),0
Intracraneal Volume,,lh_S_front_sup_area,Left_sulcus_frontal_sup_area_from_Qdec_lh.aparc.a2009s.area.stats_file,0
White-matter-left-temporalpole-from Qdec Wmparc,,wm-lh-temporalpole,,1
Left Sulcus Orbital Lateral Volume From Qdec,,lllatogv,,1
Right Gyrus Cingul-Post-ventral Meancurv From Qdec,,(S_cingul-Marginalis)GrayVol,,0
Left Sulcus Circular Insula Inferior Meancurv From Qdec,,(G_temp_sup-G_T_transv)ThickAvg,,0
Left Gyrus Postcentral Meancurv From Qdec,,(G_postcentral)MeanCurv,,1
Left Gyrus Postcentral Thickness From Qdec,,ST93TA,Thickness Average (aparc.stats) of RightIsthmusCingulate,0
Left Whole Hippocampus Volume,Left_Whole_hippocampus,left_Whole_hippocampus,Left_Whole_hippocampus-FreeSurfer(v6Beta),1
Left Sulcus Calcarine Volume,,(S_calcarine)GrayVol,,1
Right Inferior Temporal Area,,rh_inferiortemporal_area,Right_inferiortemporal_area_from_Qdec_rh.aparc.area_file,1
Right Entorightinal Area,,ST83SA,Surface Area (aparc.stats) of RightEntorhinal,1
Right Middle Temporal Mean Cortical Thickness,,rh_G_and_S_subcentral_meancurv,Right_gyrus_and_sulcus_subcentral_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file-FreeSurfer(v5.3),0
Left Gyrus Temp Sup-Lateral Volume From Qdec,,rh_G_cingul-Post-dorsal_volume,,0
Left Gyrus Oc-temp Med-Lingual Meancurv From Qdec,,lh_G_oc-temp_med-Lingual_meancurv,Left_gyrus_oc-temp_med-Lingual_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file-FreeSurfer(v5.3),1
Stroke,A sudden loss of neurological function secondary to hemorrhage or ischemia in the brain parenchyma due to a vascular event.,rh_S_front_inf_thickness,Right_sulcus_frontal_inferior_thickness_from_Qdec_rh.aparc.a2009s.thickness_file,0
Right Gyrus Pariet Inf-Supramar Volume From Qdec,,rh_G_cuneus_meancurv,Right_gyrus_cuneus_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file,0
Left Gyrus And Sulcus Cingul-Ant Meancurv From Qdec,,rh_S_front_sup_volume,Right_sulcus_frontal_sup_volume_from_Qdec_rh.aparc.a2009s.volume_file,0
Right Pars Triangularis Mean Cortical Thickness,,LeftSuperiorparietal,Volume of left superior parietal,0
Right Sulcus Oc Sup And Transversal Meancurv From Qdec,,lh_inferiortemporal_area,Left_inferiortemporal_area_from_Qdec_lh.aparc.area_file,0
Right Superior Parietal Gray Matter Volume,,RSUPPAR,,1
Boston Naming Test (BNT),-,cts_bname,,1
Right Gyrus And Sulcus Paracentral Meancurv From Qdec,,CDRGLOB,,0
Left Molecular Layer HP Volume,Left_molecular_layer_HP,left_molecular_layer_HP,Left_molecular_layer_HP,1
Left Precuneus Grey Matter Volume,,(G_temp_sup-G_T_transv)MeanCurv,,0
Left Sulcus Temporal Transverse Area From Qdec,,lh_S_temporal_transverse_area,Left_sulcus_temporal_transverse_area_from_Qdec_lh.aparc.a2009s.area.stats_file,1
Left Transverse Temporal Grey Matter Volume,,ST62CV,Cortical Volume (aparc.stats) of LeftTransverseTemporal,1
Alcohol Abuse,"The use of alcoholic beverages to excess, either on individual occasions (\binge drinking\) or as a regular practice.",PADRINKMO,"On average, how many drinks containing alcohol do you currently consume per month?",1
Left Hippocampus Volume,,Lhippo_FS_adj,Volume of left hippocampus adjusted for ICV,1
Right Fusiform Meancurv From Qdec,,rh_G_and_S_subcentral_thickness,Right_gyrus_and_sulcus_subcentral_thickness_from_Qdec_rh.aparc.a2009s.thickness_file,0
Right Gyrus And Sulcus Occipital Inferior Volume From Qdec,,rh_G_cingul-Post-ventral_thickness,Right_gyrus_cingul-Post-ventral_thickness_from_Qdec_rh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),0
Right Superiorfrontal Meancurv From Qdec,,rh_(superiorfrontal)MeanCurv,,1
Left Paracentral Mean Cortical Thickness,,lh_paracentral_thickness,Left_paracentral_thickness_from_Qdec_lh.aparc.thickness.stats_file,1
Left Gyrus Rectus Area From Qdec,,lh_G_rectus_area,,1
Left Superiorfrontal Meancurv From Qdec,,lh_(superiorfrontal)MeanCurv,,1
Right Insula Meancurv From Qdec,,(G_and_S_occipital_inf)GrayVol,,0
Right Sulcus Frontal Middle Volume From Qdec,,RPERCALM,,0
Left Sulcus Cingul-Marginalis Thickness From Qdec,,lh_S_cingul-Marginalis_thickness,Left_sulcus_cingul-Marginalis_thickness_from_Qdec_lh.aparc.a2009s.thickness_file,1
Fifth Ventricle Volume,,FATHER,Did/Does the biological father have dementia or significant memory impairment?,0
Optic Chiasm Volume,,(Optic-Chiasm)Volume_mm3,,1
Right Parahippocampal Gray Matter Volume,,(S_temporal_transverse)SurfArea,,0
Left Gyrus Frontal Inf-Orbital Volume From Qdec,,rh_(transversetemporal)GrayVol,,0
Right Gyrus Orbital Meancurv From Qdec,,rh_G_orbital_meancurv,Right_gyrus_orbital_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file,1
Right Postcentral Meancurv From Qdec,,rh_postcentral_meancurv,,1
Right Sulcus Frontal Sup Area From Qdec,,lh_entorhinal_volume,Left_entorightinal_volume_from_Qdec_lh.aparc.volume.stats_file-FreeSurfer(v5.3),0
Right Gyrus Occipital Sup Thickness From Qdec,,rh_G_occipital_sup_thickness,Right_gyrus_occipital_sup_thickness_from_Qdec_rh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),1
Left Gyrus Pariet Inf-Angular Thickness From Qdec,,(G_pariet_inf-Angular)ThickAvg,,1
Right Gyrus Rectus Thickness From Qdec,,rh_G_rectus_thickness,Right_gyrus_rectus_thickness_from_Qdec_rh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),1
Right Gyrus Cuneus Area From Qdec,,rh_G_cuneus_area,Right_gyrus_cuneus_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),1
Left Gyrus And Sulcus Occipital Inferior Volume From Qdec,,lh_G_and_S_occipital_inf_volume,Left_gyrus_and_sulcus_occipital_inferior_volume_from_Qdec_lh.aparc.a2009s.volume_file-FreeSurfer(v5.3),1
Left Gyrus Temp Sup-G T Transv Area From Qdec,,(G_temp_sup-G_T_transv)SurfArea,,1
Left Gyrus Precuneus Area From Qdec,,rh_G_postcentral_area,Right_gyrus_postcentral_area_from_Qdec_rh.aparc.a2009s.area.stats_file,0
Left Insula Volume From Qdec aparc,,rh_middletemporal_volume,,0
Right Parsorbitalis Meancurv From Qdec,,QUITSMOK,,0
APOE Allele 2,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",APOE,Apolipoprotein_E_genotype,1
Left Whole Hippocampus Volume,Left_Whole_hippocampus,rh_G_and_S_occipital_inf_volume,,0
Right Superior Frontal Area,,ST115SA,Surface Area (aparc.stats) of RightSuperiorFrontal,1
Height,The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension.,Patient'sSize,,1
Left Medialorbitofrontal Meancurv From Qdec,,lh_medialorbitofrontal_meancurv,,1
Right Gyrus And Sulcus Cingul-Mid-Ant Thickness From Qdec,,lh_G_oc-temp_lat-fusifor_volume,Left_gyrus_oc-temp_lat-fusifor_volume_from_Qdec_lh.aparc.a2009s.volume_file-FreeSurfer(v5.3),0
Left Caudal Anterior Cingulate Area,,rh_parstriangularis_thickness,,0
Right Caudalmiddlefrontal Volume From Qdec aparc,,rh_superiorparietal_volume,,0
Left Entorightinal Volume From Qdec aparc,,llentav,,1
Right Sulcus Pericallosal Area From Qdec,,rh_S_pericallosal_area,Right_sulcus_pericallosal_area_from_Qdec_rh.aparc.a2009s.area.stats_file,1
White-matter-left-entorightinal-from Qdec Wmparc,,wm-lh-entorhinal,,1
Right Gyrus Oc-temp Med-Parahip Volume From Qdec,,lh_S_front_inf_thickness,,0
Right Lateralorbitofrontal Volume,,rh_(lateralorbitofrontal)GrayVol,,1
Left CA3 Volume,Left_CA3,left_CA3,Left_CA3,1
Left Gyrus Precentral Area From Qdec,,lh_G_precentral_area,Left_gyrus_precentral_area_from_Qdec_lh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),1
Left Gyrus And Sulcus Subcentral Meancurv From Qdec,,lh_S_pericallosal_meancurv,Left_sulcus_pericallosal_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file,0
Left Gyrus Rectus Area From Qdec,,lh_G_rectus_area,Left_gyrus_rectus_area_from_Qdec_lh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),1
Right Sulcus Frontal Inferior Thickness From Qdec,,lh_G_temporal_inf_volume,Left_gyrus_temporal_inferior_volume_from_Qdec_lh.aparc.a2009s.volume_file,0
Right Sulcus Circular Insula Inferior Thickness From Qdec,,right_fimbria,Right_fimbria-FreeSurfer(v6Beta),0
Right Lateralorbitofrontal Mean Cortical Thickness,,lh_S_front_inf_meancurv,,0
TotalGrayVol From Qdec Aseg,,TotalGrayVol,TotalGrayVol_from_Qdec_aseg.volume.stats_file,1
Left Sulcus Interm Prim-Jensen Volume From Qdec,,rh_fusiform_volume,Right_fusiform_volume_from_Qdec_rh.aparc.volume.stats_file-FreeSurfer(v5.3),0
"Ears, Nose and Throat",-,ears_nose_throat_results,,1
Right Lat Fis-ant-Horizont Area From Qdec,,rh_Lat_Fis-ant-Horizont_area,Right_Lat_Fis-ant-Horizont_area_from_Qdec_rh.aparc.a2009s.area.stats_file,1
Year of Birth,The year in which a person was born.,Demographic.YearMonthOfBirth,Participant year and month of birth (YYYYMM).,1
Left Accumbens Area Volume,,3rd-Ventricle,3rd-Ventricle_from_Qdec_aseg.volume.stats_file-FreeSurfer(v5.3),0
Right Gyrus Rectus Volume From Qdec,,lh_transversetemporal_volume,Left_transversetemporal_volume_from_Qdec_lh.aparc.volume.stats_file,0
Right Gyrus Parietal Sup Area From Qdec,,lh_G_oc-temp_med-Parahip_thickness,Left_gyrus_oc-temp_med-Parahip_thickness_from_Qdec_lh.aparc.a2009s.thickness_file,0
Right Lateraloccipital Meancurv From Qdec,,rh_lateraloccipital_meancurv,Right_lateraloccipital_meancurv_from_Qdec_rh.aparc.meancurv_file,1
Right Superiorparietal Mean Cortical Thickness,,ST116TA,Thickness Average (aparc.stats) of RightSuperiorParietal,1
Complement C3 in CSF,The determination of the amount of complement C3 present in a sample.,CSF_P-Tau,,0
High Blood Pressure,Blood pressure that is abnormally high.,docip,Past_pathological_anamnesis:_does_the_patient_carry_medical_reports_about_high_blood_pressure,1
